      37.700      70.993       0.000       0.084
      37.800      71.440       0.000       0.083
      37.900      71.887       0.000       0.083
      38.000      72.335       0.000       0.083
      38.100      72.785       0.000       0.083
      38.200      73.235       0.000       0.082
      38.300      73.685       0.000       0.082
      38.400      74.137       0.000       0.082
      38.500      74.589       0.000       0.082
      38.600      75.043       0.000       0.081
      38.700      75.497       0.000       0.081
      38.800      75.952       0.000       0.081
      38.900      76.407       0.000       0.081
      39.000      76.864       0.000       0.080
      39.100      77.321       0.000       0.080
      39.200      77.779       0.000       0.080
      39.300      78.238       0.000       0.080
      39.400      78.698       0.000       0.079
      39.500      79.159       0.000       0.079
      39.600      79.620       0.000       0.079
      39.700      80.082       0.000       0.079
      39.800      80.545       0.000       0.079
      39.900      81.008       0.000       0.078
      40.000      81.473       0.000       0.078
